research_no,id,hotel_name,prefecture,station,jalan_url,jalan_hotel_name,verification_status,live_h1,live_title,name_similarity,prefecture_on_page,audit_status,error
38,stage-013-2,銀座ベルビューホテル,東京都,有楽町・銀座,https://www.jalan.net/yad303626/,銀座ベルビューホテル,verified,銀座ベルビューホテルの施設概要,銀座ベルビューホテル - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
39,stage-013-3,ダイワロイネットホテル新橋,東京都,新橋,https://www.jalan.net/yad344290/,ダイワロイネットホテル新橋,verified,ダイワロイネットホテル新橋の施設概要,ダイワロイネットホテル新橋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
40,stage-014-1,品川プリンスホテル イーストタワー,東京都,品川,https://www.jalan.net/yad353540/,品川プリンスホテル イーストタワー,verified,品川プリンスホテル イーストタワーの施設概要,品川プリンスホテル イーストタワー - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
41,stage-014-2,京急EXホテル高輪,東京都,品川・高輪台,https://www.jalan.net/yad349259/,京急ＥＸホテル高輪（2026年2月リニューアルオープン）,verified,京急ＥＸホテル高輪（2026年2月リニューアルオープン）の施設概要,京急ＥＸホテル高輪（2026年2月リニューアルオープン） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
42,stage-014-3,アパホテル〈品川 泉岳寺駅前〉,東京都,泉岳寺・高輪ゲートウェイ,https://www.jalan.net/yad354769/,アパホテル〈品川 泉岳寺駅前〉,verified,アパホテル〈品川 泉岳寺駅前〉の施設概要,アパホテル〈品川 泉岳寺駅前〉 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
43,stage-015-1,品川プリンスホテル イーストタワー,東京都,品川,https://www.jalan.net/yad353540/,品川プリンスホテル イーストタワー,verified,品川プリンスホテル イーストタワーの施設概要,品川プリンスホテル イーストタワー - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
44,stage-015-2,京急EXホテル高輪,東京都,品川・高輪台,https://www.jalan.net/yad349259/,京急ＥＸホテル高輪（2026年2月リニューアルオープン）,verified,京急ＥＸホテル高輪（2026年2月リニューアルオープン）の施設概要,京急ＥＸホテル高輪（2026年2月リニューアルオープン） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
45,stage-015-3,アパホテル〈品川 泉岳寺駅前〉,東京都,泉岳寺・高輪ゲートウェイ,https://www.jalan.net/yad354769/,アパホテル〈品川 泉岳寺駅前〉,verified,アパホテル〈品川 泉岳寺駅前〉の施設概要,アパホテル〈品川 泉岳寺駅前〉 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
46,stage-016-1,レム六本木,東京都,六本木,https://www.jalan.net/yad382341/,レム六本木,verified,レム六本木の施設概要,レム六本木 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
47,stage-016-2,相鉄フレッサイン 東京六本木,東京都,六本木,https://www.jalan.net/yad364444/,相鉄フレッサイン東京六本木,verified,相鉄フレッサイン東京六本木の施設概要,相鉄フレッサイン東京六本木 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
48,stage-016-3,コンフォートイン東京六本木,東京都,六本木,https://www.jalan.net/yad330535/,コンフォートイン東京六本木,verified,コンフォートイン東京六本木の施設概要,コンフォートイン東京六本木 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
49,stage-017-1,レム日比谷,東京都,有楽町・日比谷,https://www.jalan.net/yad334400/,レム日比谷,verified,レム日比谷の施設概要,レム日比谷 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
50,stage-017-2,銀座ベルビューホテル,東京都,有楽町・銀座,https://www.jalan.net/yad303626/,銀座ベルビューホテル,verified,銀座ベルビューホテルの施設概要,銀座ベルビューホテル - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
51,stage-017-3,ダイワロイネットホテル新橋,東京都,新橋,https://www.jalan.net/yad344290/,ダイワロイネットホテル新橋,verified,ダイワロイネットホテル新橋の施設概要,ダイワロイネットホテル新橋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
